2013 Urbanization,2013 Urbanization Code,County,County Code,Deaths,Population,Crude Rate,% of Total Deaths
Large Central Metro,1,"Cuyahoga County, OH",39035,14648,1330612,1100.8,13.40%
Large Central Metro,1,"Franklin County, OH",39049,8520,1105497,770.7,7.80%
Large Central Metro,1,"Hamilton County, OH",39061,8034,810352,991.4,7.40%
Large Fringe Metro,2,"Brown County, OH",39015,458,44161,1037.1,0.40%
Large Fringe Metro,2,"Butler County, OH",39017,2743,350732,782.1,2.50%
Large Fringe Metro,2,"Clermont County, OH",39025,1441,189486,760.5,1.30%
Large Fringe Metro,2,"Delaware County, OH",39041,681,149153,456.6,0.60%
Large Fringe Metro,2,"Fairfield County, OH",39045,1064,138745,766.9,1.00%
Large Fringe Metro,2,"Geauga County, OH",39055,699,93614,746.7,0.60%
Large Fringe Metro,2,"Hocking County, OH",39073,302,29058,1039.3,0.30%
Large Fringe Metro,2,"Lake County, OH",39085,2215,227647,973,2.00%
Large Fringe Metro,2,"Licking County, OH",39089,1368,157950,866.1,1.30%
Large Fringe Metro,2,"Lorain County, OH",39093,2627,294873,890.9,2.40%
Large Fringe Metro,2,"Madison County, OH",39097,346,41292,837.9,0.30%
Large Fringe Metro,2,"Medina County, OH",39103,1097,164953,665,1.00%
Large Fringe Metro,2,"Morrow County, OH",39117,283,34271,825.8,0.30%
Large Fringe Metro,2,"Perry County, OH",39127,364,35254,1032.5,0.30%
Large Fringe Metro,2,"Pickaway County, OH",39129,481,52954,908.3,0.40%
Large Fringe Metro,2,"Union County, OH",39159,322,46952,685.8,0.30%
Large Fringe Metro,2,"Warren County, OH",39165,1286,195499,657.8,1.20%
Medium Metro,3,"Carroll County, OH",39019,236,29118,810.5,0.20%
Medium Metro,3,"Fulton County, OH",39051,336,42897,783.3,0.30%
Medium Metro,3,"Greene County, OH",39057,1257,156223,804.6,1.20%
Medium Metro,3,"Lawrence County, OH",39087,719,62476,1150.8,0.70%
Medium Metro,3,"Lucas County, OH",39095,4384,449224,975.9,4.00%
Medium Metro,3,"Mahoning County, OH",39099,3040,247702,1227.3,2.80%
Medium Metro,3,"Miami County, OH",39109,965,101564,950.1,0.90%
Medium Metro,3,"Montgomery County, OH",39113,5399,546979,987.1,5.00%
Medium Metro,3,"Portage County, OH",39133,1241,157469,788.1,1.10%
Medium Metro,3,"Stark County, OH",39151,3890,376050,1034.4,3.60%
Medium Metro,3,"Summit County, OH",39153,5438,545029,997.7,5.00%
Medium Metro,3,"Trumbull County, OH",39155,2418,217926,1109.6,2.20%
Medium Metro,3,"Wood County, OH",39173,902,124698,723.3,0.80%
Small Metro,4,"Allen County, OH",39003,1004,106861,939.5,0.90%
Small Metro,4,"Belmont County, OH",39013,903,70203,1286.3,0.80%
Small Metro,4,"Clark County, OH",39023,1652,141367,1168.6,1.50%
Small Metro,4,"Jefferson County, OH",39081,1015,71251,1424.5,0.90%
Small Metro,4,"Richland County, OH",39139,1257,127724,984.2,1.20%
Micropolitan (non-metro),5,"Ashland County, OH",39005,481,53048,906.7,0.40%
Micropolitan (non-metro),5,"Ashtabula County, OH",39007,1132,102638,1102.9,1.00%
Micropolitan (non-metro),5,"Athens County, OH",39009,419,64075,653.9,0.40%
Micropolitan (non-metro),5,"Auglaize County, OH",39011,449,46166,972.6,0.40%
Micropolitan (non-metro),5,"Champaign County, OH",39021,386,39592,974.9,0.40%
Micropolitan (non-metro),5,"Clinton County, OH",39027,376,41775,900.1,0.30%
Micropolitan (non-metro),5,"Columbiana County, OH",39029,1224,109784,1114.9,1.10%
Micropolitan (non-metro),5,"Coshocton County, OH",39031,392,37363,1049.2,0.40%
Micropolitan (non-metro),5,"Crawford County, OH",39033,526,45536,1155.1,0.50%
Micropolitan (non-metro),5,"Darke County, OH",39037,517,53200,971.8,0.50%
Micropolitan (non-metro),5,"Defiance County, OH",39039,360,39049,921.9,0.30%
Micropolitan (non-metro),5,"Erie County, OH",39043,861,78070,1102.9,0.80%
