Sandusky,75.33,75.69,76.01,76.91,77.23,77.91,78.08
Tuscarawas,74.65,75.56,76.01,76.94,77.67,78.73,78.87
Stark,74.66,75.7,76.13,76.95,77.57,78.41,78.52
Wyandot,75.45,75.89,76.18,77.09,77.68,78.62,78.67
Ottawa,74.88,75.75,76.18,77.29,77.97,79.02,79.35
Seneca,75.75,76.12,76.2,76.83,77.29,78.25,78.15
Miami,75.21,75.97,76.22,76.92,77.64,78.69,78.85
Union,75.19,75.65,76.32,77.22,77.9,78.93,79.08
Darke,75.5,76.19,76.36,77.37,77.92,78.82,78.69
Defiance,75.43,75.94,76.44,77.29,77.75,78.67,78.68
Carroll,75.68,76.13,76.46,77.23,77.83,78.56,78.28
Fairfield,75.69,76.16,76.5,77.14,77.78,78.73,78.95
Greene,75.36,76.14,76.57,77.58,78.34,79.53,79.58
Warren,75.15,76.19,76.57,77.64,78.27,79.45,79.61
Wayne,75.87,76.31,76.6,77.27,77.75,78.75,78.85
Van Wert,76.04,76.52,76.65,77.43,77.94,78.96,78.82
Shelby,75.92,76.35,76.65,77.31,77.9,78.77,78.73
Ashland,75.89,76.52,76.66,77.57,78.07,78.72,78.78
Portage,75.42,76.07,76.67,77.51,77.83,78.74,78.88
Lake,75.46,76.32,76.73,77.65,78.13,79.08,79.26
Henry,75.74,76.38,76.77,77.73,78.36,79.28,79.47
Williams,76.09,76.58,76.86,77.57,78.09,78.91,78.92
Auglaize,75.82,76.59,76.9,77.7,78.25,79.01,79.16
Fulton,76.09,76.69,76.91,77.62,78.29,78.92,79.01
Mercer,76.12,76.58,77.01,77.87,78.31,79.24,79.33
Wood,75.8,76.59,77.07,77.82,78.63,79.34,79.32
Hancock,76.26,76.61,77.22,78.01,78.58,79.34,79.46
Holmes,76.48,77.01,77.34,78.02,78.56,79.26,79.37
Medina,76.27,76.99,77.46,78.46,79.33,80.13,80.26
Noble,75.9,76.92,77.52,78.22,79.25,80.69,81.05
Putnam,76.52,77.17,77.62,78.46,79.06,79.82,80.03
Delaware,76.08,77.09,77.83,78.81,80.03,81.04,81.43
Geauga,76.73,77.65,78.24,79.42,80.21,81.3,81.64
