state,2015,obese_2015_degree
Louisiana,36.2,3
Alabama,35.6,3
Mississippi,35.6,3
West Virginia,35.6,3
Kentucky,34.6,3
Arkansas,34.5,3
Kansas,34.2,3
Oklahoma,33.9,3
Tennessee,33.8,3
Missouri,32.4,3
Texas,32.4,3
Iowa,32.1,3
South Carolina,31.7,3
Nebraska,31.4,3
Indiana,31.3,3
Michigan,31.2,3
North Dakota,31,3
Illinois,30.8,3
Georgia,30.7,3
Wisconsin,30.7,3
South Dakota,30.4,3
North Carolina,30.1,3
Oregon,30.1,3
Maine,30,3
Pennsylvania,30,3
Alaska,29.8,3
Ohio,29.8,3
Delaware,29.7,3
Virginia,29.2,3
Wyoming,29,3
Maryland,28.9,2
New Mexico,28.8,2
Idaho,28.6,2
Arizona,28.4,2
Florida,26.8,2
Nevada,26.7,2
Washington,26.4,2
New Hampshire,26.3,2
Minnesota,26.1,2
Rhode Island,26,1
New Jersey,25.6,1
Connecticut,25.3,1
Vermont,25.1,1
New York,25,1
Utah,24.5,1
Massachusetts,24.3,1
California,24.2,1
Montana,23.6,1
Hawaii,22.7,0
District of Columbia,22.1,0
Colorado,20.2,0
